,close_CEX_x,open_CEX_x,ETH_USDT,open,high,low,close,volume,rolling_volatility,rolling_avg_price_diff,price_change,jump_intensity,bid_price,ask_price,eth_inventory,bubble_inventory,cashflow,pnl_eth,pnl_usd,price,price_difference,spread_multiplier,discrepancy_spread_component
2024-12-23 07:59:00,1.341622841315417e-06,1.3432029811826273e-06,3351.69,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,7.112149686044786e-11,7.688537940430752e-09,0.0,0.0,1.328045140286724e-06,1.3710956956882512e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4450.623690911,1.3495704179874874e-06,7.947576672070414e-09,0.0101,0.0001
2024-12-23 08:00:00,1.3425605122936131e-06,1.341791262990491e-06,3351.49,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,6.968455092676586e-11,7.549254903744578e-09,0.0,0.0,1.3281858602693438e-06,1.370954975705631e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4450.358116010522,1.3495704179874874e-06,7.0099056938742835e-09,0.0101,0.0001
2024-12-23 08:01:00,1.3442988286676205e-06,1.3433803128182614e-06,3348.27,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,6.51839290360314e-11,7.315026128133531e-09,0.0,0.0,1.3284245896668455e-06,1.3707162463081293e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4446.082360112831,1.3495704179874874e-06,5.271589319866892e-09,0.0101,0.0001
2024-12-23 08:02:00,1.345812065034618e-06,1.344070759438825e-06,3346.55,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,5.689719866389516e-11,6.7923733976098985e-09,0.0,0.0,1.3289555291277413e-06,1.3701853068472336e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4443.798415968723,1.3495704179874874e-06,3.758352952869482e-09,0.0101,0.0001
2024-12-23 08:03:00,1.3438097514340346e-06,1.3452713577159404e-06,3342.82,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,4.2672900903713515e-11,6.742464978589955e-09,0.0,0.0,1.3290196618445215e-06,1.3701211741304534e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4438.845444074813,1.3495704179874874e-06,5.7606665534528635e-09,0.0101,0.0001
2024-12-23 08:04:00,1.3436846819946252e-06,1.3431600708624486e-06,3347.33,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.596642436402263e-09,0.0,0.0,1.3292081572876128e-06,1.3699326786873621e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4444.834158080585,1.3495704179874874e-06,5.885735992862211e-09,0.0101,0.0001
2024-12-23 08:05:00,1.3422858848105043e-06,1.3430874888026277e-06,3349.0,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.5501727554724065e-09,0.0,0.0,1.3292546269685426e-06,1.3698862090064322e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4447.0517084995745,1.3495704179874874e-06,7.284533176983116e-09,0.0101,0.0001
2024-12-23 08:06:00,1.3402798451920215e-06,1.3427184379112075e-06,3351.41,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.533375205269188e-09,0.0,0.0,1.3292714245187459e-06,1.369869411456229e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4450.251886050331,1.3495704179874874e-06,9.290572795465961e-09,0.0101,0.0001
2024-12-23 08:07:00,1.3416693014848443e-06,1.3387913069365883e-06,3359.0,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.6427174423827555e-09,0.0,0.0,1.3291620822816323e-06,1.3699787536933423e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4460.330453523461,1.3495704179874874e-06,7.901116502643098e-09,0.0101,0.0001
2024-12-23 08:08:00,1.3415107291013818e-06,1.342265864091107e-06,3352.54,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,1.3495704179874874e-06,0.0,0.0,6.816973854619391e-09,0.0,0.0,1.3289878258693956e-06,1.370153010105579e-06,1.400123074077442,983832.6408274266,1.2307407744267185e-06,1.3278745023886458,4451.752384238031,1.3495704179874874e-06,8.059688886105585e-09,0.0101,0.0001
