block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token0_symbol,token1_address,token1_symbol
21484716,2024-12-26 06:01:23,0x31dde4535be20c3c0924c91943e4983bff1000a8ca466d59ba32f29f38f6a000,33,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9f73F594f2CD54Dc956e8cFbB40913C1082C50a4,10000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xe36D53dF10a7Ba76ED5c2CA83EB638aE0808bcCB,ZERO
21485265,2024-12-26 07:52:23,0xd497bd8090a9ebe324f270642daa51b7025bf8ad4a62d80795665e683a0849c4,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x89b24AF174b9517975307B407d0Ffa493243b316,10000,0x0af5A51f7e35d7aeF0B7e63D29cC0433A42F4DB3,XONE,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21485325,2024-12-26 08:04:23,0xbbcff822cbaf3fddba653c5d381ae090d147f7ad0388c39c2d49ec174fecd9f6,436,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x599D0d3d0aAF5BF0041CE1B8210c8Ee4Eb77A886,3000,0x3f6F040894C9355B861f3172B9f486680958c5e2,SGS,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21485840,2024-12-26 09:47:35,0x7f9c1abe64925054550365d4f87f1f18180ed5f6a9df0d2a46e3576c46d3b700,67,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x8d6fe22183947b13aabFDb9fAc6e7eD0Ba7e813E,3000,0x6C587402dC88Ef187670F744dFB9d6a09Ff7fd76,FETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21485848,2024-12-26 09:49:11,0x7dbbcab1fafefaa7f500989ea296aa73e999b96e1698e4eebebb64e61f5f42b6,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe78f129F516F1881483f055356aBAd4bB593D9Ba,10000,0xB369dACa21eE035312176Eb8Cf9d88ce97E0aA95,SKOL,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21485979,2024-12-26 10:15:47,0xea5370179d3340d7f30c563275efee5e0bb5906f5ea30a717ceff7d058102419,411,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xE9373fCfa6E06DC6019016cD96B2D2d131042868,3000,0xB369dACa21eE035312176Eb8Cf9d88ce97E0aA95,SKOL,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21486090,2024-12-26 10:38:11,0xa4ab1a1612b0160071c9eeea7c95029c226ee3f1691f2f79700b8d5ede5faeab,237,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x65797F5c6f35839d47cfCCc9E187030716Da281b,3000,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0x253eD65F440a5Bd3902D7f4C03a2E29A57618914,GS
21486284,2024-12-26 11:16:59,0xd3c217a85e04c81ab7c002f1c373203b45bdb9616f6475b9f2047bf4ec624a6e,264,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x38c0E310345D54E8068D236f0923bB5480bA1188,100,0x66a1E37c9b0eAddca17d3662D6c05F4DECf3e110,USR,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21486767,2024-12-26 12:54:11,0xef4cd5767779277f658042216180c717e1c4f258d835e56b35751a64676ed257,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xcEF283497e1De95Ed8944a2a3FF83148ef862fb7,3000,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,0x4FD67c2D9e8c4fDd9C66954bafe124Ca50fC1819,RMNER
21486977,2024-12-26 13:36:23,0x31ef27b0f873e5bf80c844819f3d53ee47a00789ee4201e40ee68d299a9ee1d1,54,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xD72537Cb15067223D27F6780BE7de8F41cEeFa62,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,USUAL
