block_number,timestamp,tx_hash,log_index,pool_contract_address,amount0,amount1,sqrt_price_x96,liquidity,tick
21447885,2024-12-21 02:23:47,0x4cacf278c017ad2f7cfc00539f104e3d06cbc26323433a66289e61bc67be0023,29,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.16904898903805E+017,8.21323097749871E+022,6.60989023092968E+031,1.35362764546983E+023,134538
21447899,2024-12-21 02:26:35,0x7920d3f624a56a6636bae0e2d34e4aca8c02abc6317d3f88d3c09f0f8cd64042,86,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.90412507175552E+016,2.7455058222088E+022,6.61148111279717E+031,1.35362764546983E+023,134543
21447899,2024-12-21 02:26:35,0x46e037f1f89d1928b08849495e3396e425171f6ba526518923d6cada214e6e4f,187,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-9.77801640660344E+016,6.88201782123496E+022,6.61546889431087E+031,1.35362764546983E+023,134555
21447922,2024-12-21 02:31:23,0x7f8b268dda982d98aa932bfac5cd1c8dd5e1b5246669c1bbd79d26d27bddab98,94,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.29809438293061E+017,9.14915669275685E+022,6.62077036822056E+031,1.35362764546983E+023,134571
21447941,2024-12-21 02:35:11,0x1e81dce6ae7f1bb87abdea90596234d59e95a74928a32944655b3e8de1168f74,311,0x21edad4d801974a824404e4ed4b3bd95ab876b34,5.7E+016,-3.93927831043182E+022,6.61846469883495E+031,1.35362764546983E+023,134564
21447959,2024-12-21 02:39:23,0x2371a49b5780b36fba664f89a37cd08e2d6e5040e27f3b4f8862ff0de7aab7c7,274,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.2E+016,-8.28972163623461E+021,6.61797949936728E+031,1.35362764546983E+023,134562
21447965,2024-12-21 02:40:35,0x237b1f0f1625359e0612beb87f3b670dfd4eefdeab803d41fd0f477cfbbb2931,103,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2837696324766715,2E+021,6.61809538925938E+031,1.35362764546983E+023,134563
21447966,2024-12-21 02:40:47,0xdb33e41e9a40054e36da789d531c824a835fe9a09ebf64547c733cf04202f303,175,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2.94732902413228E+018,-1.99995554069898E+024,6.50103749440174E+031,1.35362764546983E+023,134206
21447968,2024-12-21 02:41:11,0x92ac48001fc877f467697cedcad9ce0f442e0731ee21da5c20d6f6951993352a,166,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.9162577335945E+017,2.66977383613855E+023,6.51650748449193E+031,1.35362764546983E+023,134253
21447969,2024-12-21 02:41:23,0xab97767caf6a16190e4b46eac84cba3052d814302778fe4e50d416031c2c61c8,299,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-9.98870593282647E+017,6.8673407698396E+023,6.55630025353376E+031,1.35362764546983E+023,134375
21447971,2024-12-21 02:41:47,0xcc03c8eab9bdc9cad7949fc98ac4427735e7d6670cf065c5b2b4dc56dea0a610,125,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2.98667961106803E+017,-2.02114749766214E+023,6.5444704269972E+031,1.35362764546983E+023,134339
21448070,2024-12-21 03:01:47,0xe1a5134e1f3a51e86e175571dc8e8338c18995fc7be1d4ff0c077f0517748d13,61,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.0412903470358E+017,2.1E+023,6.55663886566779E+031,1.35362764546983E+023,134376
21448119,2024-12-21 03:11:35,0xc71669739a5aff04fd3e353237981b538247717745444189fc09fb5e678f396b,536,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-5.76231485585656E+017,4.0003484702097E+023,6.57981886329671E+031,1.35362764546983E+023,134447
21448128,2024-12-21 03:13:23,0x9190e68ca3ff4be67c277a79a92062e185eb04d8375b9a35d517297a3c5484a2,78,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.77297002792479E+017,2.6346525570957E+023,6.59508534332496E+031,1.35362764546983E+023,134493
21448129,2024-12-21 03:13:35,0x51d99b1c8db18b050f2155514cb5493e484edd8fd739b64a037011db895cac5d,106,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-7.1905618256527E+017,5.055148848006E+023,6.62437737605243E+031,1.35362764546983E+023,134582
21448143,2024-12-21 03:16:23,0x16a667ff9e02eee99c3c98e4e21c0825a2edfb4a760b8abf678ef946b6e120af,34,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-4.06641669785604E+017,2.87872291126605E+023,6.64105812043117E+031,1.35362764546983E+023,134632
21448176,2024-12-21 03:22:59,0x4bc69348cb6474754e01e9168c950bccb8673c5cc403fd4674a45f12a475e896,347,0x21edad4d801974a824404e4ed4b3bd95ab876b34,3E+017,-2.08292603773729E+023,6.62886670256413E+031,1.35362764546983E+023,134595
21448248,2024-12-21 03:37:35,0x535b652b86be1ad72b07b75e5f6b7165b6bda32e7bb3bb80b25f7bdb4a279111,147,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-9.89345927160072E+016,7E+022,6.63292284878766E+031,1.35362764546983E+023,134607
21448279,2024-12-21 03:43:59,0x13f49e5bcf91a8fe0e00616a4cfefa36b15dac26fc515794e1add57765c5f58a,81,0x21edad4d801974a824404e4ed4b3bd95ab876b34,5000000000000000,-3.46930616155308E+021,6.63271978943577E+031,1.35362764546983E+023,134607
21448339,2024-12-21 03:55:59,0xad95c8346939463ab5e23eaae334b73ab2a6448419c9332c824e12b7f23138b9,175,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.16803165272571E+016,8.2694176E+021,6.63319896039248E+031,1.35362764546983E+023,134608
21448379,2024-12-21 04:03:59,0x0d9d71be12f148d64b4561335dacb9b6a0fc10a3103f41d4ab0981b4e7b4a5e1,588,0x21edad4d801974a824404e4ed4b3bd95ab876b34,9.92E+016,-6.87970833902941E+022,6.6291722500031E+031,1.35362764546983E+023,134596
21448379,2024-12-21 04:03:59,0x5d2e1e5a9583add324edb934affdba18a7eaaeac301e9e9e24bddadc5d10186b,677,0x21edad4d801974a824404e4ed4b3bd95ab876b34,300000000000000,-2.07929012954775E+020,6.6291600798663E+031,1.35362764546983E+023,134596
21448446,2024-12-21 04:17:35,0x1dc931e98bc60e786d3f6192e0e2068f115bd4ed910034f88bfd7bd8b6f238c9,164,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.90806181730617E+017,2.77034888375111E+023,6.64521285152728E+031,1.35362764546983E+023,134644
21448452,2024-12-21 04:18:59,0xbdb745d929c4cdf06e6629ffc03c05e780ccd6e1ad9dbc0936004647980f787e,112,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.0422444965808E+017,2.16589294461984E+023,6.65776310650998E+031,1.35362764546983E+023,134682
