block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446512,2024-12-20 21:46:59,0x96e0a59bd39416b2fce0998ee5736c8a62aab3e97ddcbd3f8cb74ecdd7f6f0fc,44,0x89556c9d2b44c20dc367bf24fa86e5f1f4e44c7f,104400,121800,9049343765467253925,5832016858898256,1436037731800855157212
21446513,2024-12-20 21:47:11,0x63956628583587632b61c75f8c4d912ebd9c39de7aa415b323b27ae931ee77d7,47,0x2b8b4e538d95480f9e148cedf5935a387da36e33,-887200,887200,1648033139771017473,4170629750465202075,651223770098644543
21446514,2024-12-20 21:47:23,0x21e08da282c788f5d18070bedf4501f4e9de47b0543dd597c5bee859f28a8020,7,0x98409d8ca9629fbe01ab1b914ebf304175e384c8,135420,135480,7803729636146914728607744,22122767414621331377,3564712476278188847990123
21446518,2024-12-20 21:48:11,0x5cb1ecc73bf763cadb50a7f1d09ecbdbe7ed5d82f6341a2ea7d69ab2d65cbc8f,116,0xe081eeab0adde30588ba8d5b3f6ae5284790f54a,-887200,887200,208885370599622,1477120923,29539286439679808164
21446522,2024-12-20 21:48:59,0x34d95f2fa7b98adda26eadcd15116e793252d6035db0f834a26beee44cb34b3e,241,0x867b321132b18b5bf3775c0d9040d1872979422e,-275100,-274950,17393042023081534678,106055330289333854196645,18308845012
21446523,2024-12-20 21:49:11,0x0eb7de91289a077a5120396fcad2e3318ed642cf2676a27312b42bf9b4aa79c9,187,0xb71008f10b4b126c43fad95257aa29c6e3b8ca37,-887200,887200,6756538150493882356,596092480846797983139,76583431675280649
21446523,2024-12-20 21:49:11,0xaba0e0da6d2bcb8daf0546f8d24567c74684bb5cb86abf4d649deaccf96b1d76,240,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,77400,78400,230546986839548225626,74511486708504161,380391011506740657252
21446529,2024-12-20 21:50:23,0x2b54d06d8f416a2d2b54a13b127682e27475efc4f0fb77182a1b3df48ce5b39d,105,0x27941a235804f33d81adabb2d56589c5f6ea6556,-100000,-91200,574967731155124828177,24999999999999999983481,260126678933962302
21446538,2024-12-20 21:52:11,0xf563cc3487fd30e71d04164c439cbc321f01d2be4f8f3248f631d0895346ce07,45,0x72e0de1cc2c952326738dac05bacb9e9c25422e3,-887200,887200,1167750634186980846601187,1412701008839808444171,965272577219999999999589767
21446544,2024-12-20 21:53:23,0xd36ab9548b61b65567e5afefcd80a827d5654502ff4575edfa6f4c6037422c08,267,0x0cfeb26642699dc872b8b9ee0157aa556e8cedfc,-887220,887220,661907852576507178,99999999999999990204,4381220053024432
21446556,2024-12-20 21:55:47,0x2341d98bd705775c26b724f0f9af2aec987c0441cfd529042486cc269300bbef,154,0x57e6af786dd86974fb6ef695745aef16252f2927,-887220,887220,99658439849401251504,13294230948842362347029,747076282293829934
21446589,2024-12-20 22:02:23,0x987d51b7213e2546628f64279122cc9ef041e3290a3bee3ab256a6be130a87ca,121,0xc57cac126676471c547d2d9b1c283e56ef1b28f4,187980,195240,44709871414609,1074151527,7887670363853093
21446599,2024-12-20 22:04:23,0x8b732402e2e690555c88ba13bda522c6cc4b59f250788ce66f6c740a406ffaad,98,0x757a197b3b17b207d6de3840de09bcf2dfb75b72,-887200,887200,675988986758415341754,1803261574198417557981095,253408111589022496
21446612,2024-12-20 22:06:59,0xb9cea36cc07cfb3969e2a1009d21f94ef8b5c56239868445d89201a86152d397,42,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194880,-194870,10024804378713522176,3862672558990426685,280845999126
21446621,2024-12-20 22:08:47,0x4bcd15a6956d85989e8dc91424af7d7d0e94fc513f066171ca3419cbe055966a,33,0x13dc0a39dc00f394e030b97b0b569dedbe634c0d,-114600,-114180,26123821504055316840448,144418491750453776597947,240319470777011560
21446629,2024-12-20 22:10:23,0x0302a013f59ba97b757995661eee16ab19fcc3efc0593688b138aac5464e4432,2,0x9ba3f47fe7f5a12562ba0a4a5645d8bf9ea1dd8e,-203200,-203000,562273379883077545561686016,5155548065220723026420171883,210842191488163025510
21446629,2024-12-20 22:10:23,0x35d38f464b75b44e2cf7b93c565853e3d1d9a52d5000ec8f901a401f4d3f0159,132,0x95a45a87dd4d3a1803039072f37e075f37b23d75,-73800,-69000,40797842430269156815,195745945594890853819,105135355721663005
21446632,2024-12-20 22:10:59,0x0efb80d0f09efbdfe6ec909236e01222a8d8033f6324a9aadfe22144a5b362d8,115,0xf89980f60e55633d05e72881ceb866dbb7f50580,-887200,887200,1826089390504681194370362,1499999999999999999999604576,2223068308075838599980
21446643,2024-12-20 22:13:11,0x2bdde72190ce7715b23b7e9006712af2c25e47fd6871e53e93cf2aa53697ac07,24,0x6916f79669f745aebd82433583c85665bfae6fbb,125400,132240,12897090813618579,4510391177173,798329999999930312
21446652,2024-12-20 22:15:11,0xe2ec849bd40a86fd9f6368c49489d7ff3a62be253d9e358daf564bff79f584d8,403,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,72600,78400,241374090454084580709,14650651793344739,3024644967384789936570
21446654,2024-12-20 22:15:35,0x0b880a003a54a62d75a9ddfa0fb62033cbf429373c2a4d60801ea3b0e8576488,177,0x95a45a87dd4d3a1803039072f37e075f37b23d75,-73000,-70800,316399477817003625272,579815755037048937339,492752631993711954
21446660,2024-12-20 22:16:47,0x5746524c9d00c32247967a95816891976bc2eb7c5054b9d2a200e69b32a763a3,173,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,78000,78400,88253763292928186503669,1565124284616626700,84084624955090495102322
