block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446376,2024-12-20 21:19:47,0x64b0a2833031aacf1e81fcb7ae14ef277b11ef70f519157e38bf2f2c165d64d4,59,0x72e0de1cc2c952326738dac05bacb9e9c25422e3,-887200,887200,0,0,0
21446382,2024-12-20 21:20:59,0xd00b05ebbe54ea452701fa449dd6bea6ac5d6325279df709998785198b317940,298,0xd640333b71b015092d9b3afcff3e427036304370,258400,262400,39064802811741976,0,3529790065843855552135
21446389,2024-12-20 21:22:23,0xe6a6a1b8ac242c36e71e216386ca926b8341ed1f533fcc75457ed3d8abcb4e1f,143,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,195250,195400,84165806868460739,36220949598,0
21446394,2024-12-20 21:23:23,0x67ca60a65ec257e189d8a6d7dd22824df48df279d28cb0e91d20bb46c38bde40,143,0xa04d13f092f68f603a193832222898b0d9f52c71,141600,150200,0,0,0
21446403,2024-12-20 21:25:11,0x3ac35da75ef907a7876c6b5abb1c00b9cad7211efa331c32ff20fb9c5d2c5f76,131,0x826b34e62320108a9fa38a080360d693a8a73111,102660,103980,13268508030743782396522,1783192073940560157,96358727171500021107819
21446406,2024-12-20 21:25:47,0x0e842c29408da72824e6189b03a2422e2e176a7d2855b9d7f78f08bb39a3b5cb,35,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194980,-194970,33065846278572736512,214758306520429704892,232973894779
21446432,2024-12-20 21:30:59,0x1f209836049e3329569ef478e13a3b07499e82fd01a178cc61127d25345ab6d5,36,0x77fab4a22c982b7d1287dfe2056be02a72d3d07d,-275630,-275620,44457962859007755042,3219156951842148,23018456352
21446432,2024-12-20 21:30:59,0x167677e95a3cef4079f392352fe9d409cb56bf1c9ffb8066ac824e1edeadac84,752,0x72e0de1cc2c952326738dac05bacb9e9c25422e3,-887200,887200,0,0,0
21446432,2024-12-20 21:30:59,0x167677e95a3cef4079f392352fe9d409cb56bf1c9ffb8066ac824e1edeadac84,760,0xc45a81bc23a64ea556ab4cdf08a86b61cdceea8b,-887200,887200,0,0,0
21446435,2024-12-20 21:31:35,0xf2cfb9f1305072640245c705d04a3434171228347fe7ab391280453520608c96,20,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,194950,194960,624245251236742207749,2308806801614,4663326964097545655245
21446437,2024-12-20 21:31:59,0x90c2c08e97658779895572d4388372792f4e7d4c145e386acb3d34b949c7ec13,297,0x214cad3f7fbbe66919968fa3a1b16e84cfcd457f,-887200,887200,0,0,0
21446437,2024-12-20 21:31:59,0x90c2c08e97658779895572d4388372792f4e7d4c145e386acb3d34b949c7ec13,300,0x214cad3f7fbbe66919968fa3a1b16e84cfcd457f,-887200,887200,151226079993961264566890176,5126504413051761060170765590,4460998260747828089894745
21446437,2024-12-20 21:31:59,0x90c2c08e97658779895572d4388372792f4e7d4c145e386acb3d34b949c7ec13,302,0x214cad3f7fbbe66919968fa3a1b16e84cfcd457f,-887200,887200,0,0,0
21446439,2024-12-20 21:32:23,0xf9685618c3d13b72417a8ac384f8f3e334f2071a124982e6bf4b9232d0db2322,171,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,77800,78000,161739109631166741689203,0,79485439030627598762108
21446445,2024-12-20 21:33:35,0x04413f358eebc9e258318d17a545b58ac3a4310a0d4ddd0e0451aba6b22beeef,367,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,77200,81800,9645410656747425492743,32387731766018911010,22124889271552949718594
21446448,2024-12-20 21:34:11,0x01add999b906a23c17d8a37b658fa6e80127228688b60d056d5c43df0cd8f787,130,0x93125c66f2e791d385d4bdfb1148b50cca1fa844,-887220,887220,356446738343525,1330402016680199842151,95500664
21446448,2024-12-20 21:34:11,0x01add999b906a23c17d8a37b658fa6e80127228688b60d056d5c43df0cd8f787,132,0x93125c66f2e791d385d4bdfb1148b50cca1fa844,-887220,887220,0,0,0
21446449,2024-12-20 21:34:23,0xd5bbdb4a3a05bc676416cdae1065fe7d5f2db3028ca0730771c8ede6eb5781e8,47,0x18bbe20f81bdcb340325e28a6ee6bb426b7ccbc1,-83940,-83880,1311204008304093897424896,12530948875191385878300,56409706226708952068
21446465,2024-12-20 21:37:35,0x7df0ad8aeff08d58e6c2f9ddc72799137a9291573530d5452715bbe6379644f8,34,0x6aeb4f36c764b3d0a239690266a8668c6786e089,76600,76800,6254171500572573696,463113632269392,1895942345998128187
21446472,2024-12-20 21:38:59,0x79282a66a1f7fb76c002d3c15335da7b737a1fdf4598122c722daa0f4ab8cfc7,113,0xe859041c9c6d70177f83de991b9d757e13cea26e,-205000,-184400,0,0,0
21446511,2024-12-20 21:46:47,0xe4501461d8026798483d229ab96a491e905bff8c8d8d2639f05a6ec4b02f198e,147,0x867b321132b18b5bf3775c0d9040d1872979422e,-275040,-274930,20611081957090099583,106014965722178453940308,0
21446512,2024-12-20 21:46:59,0x96e0a59bd39416b2fce0998ee5736c8a62aab3e97ddcbd3f8cb74ecdd7f6f0fc,38,0x89556c9d2b44c20dc367bf24fa86e5f1f4e44c7f,104400,121800,0,0,0
21446512,2024-12-20 21:46:59,0x96e0a59bd39416b2fce0998ee5736c8a62aab3e97ddcbd3f8cb74ecdd7f6f0fc,48,0x89556c9d2b44c20dc367bf24fa86e5f1f4e44c7f,104400,121800,805427684872140757227728,519072759145555339256,127813085201508176718704571
21446513,2024-12-20 21:47:11,0x63956628583587632b61c75f8c4d912ebd9c39de7aa415b323b27ae931ee77d7,41,0x2b8b4e538d95480f9e148cedf5935a387da36e33,-887200,887200,0,0,0
21446514,2024-12-20 21:47:23,0xa79c3e7aeb7aaf555b2f074ea619d3063fce9e63a38d47ca3afd0ed391e3b3ec,30,0x98409d8ca9629fbe01ab1b914ebf304175e384c8,135420,135480,7803729636146914728607744,26809554227651923142,0
21446518,2024-12-20 21:48:11,0x5cb1ecc73bf763cadb50a7f1d09ecbdbe7ed5d82f6341a2ea7d69ab2d65cbc8f,110,0xe081eeab0adde30588ba8d5b3f6ae5284790f54a,-887200,887200,0,0,0
21446523,2024-12-20 21:49:11,0x0eb7de91289a077a5120396fcad2e3318ed642cf2676a27312b42bf9b4aa79c9,181,0xb71008f10b4b126c43fad95257aa29c6e3b8ca37,-887200,887200,0,0,0
21446527,2024-12-20 21:49:59,0x33f5d70020320c4fda2c90a66a5297d6d851f408cef7313374b7510c0d0ee37c,96,0x44f9469d0d5393d3a01a0d4fa14fe7713c1ad1f7,-112400,-106200,0,0,0
21446529,2024-12-20 21:50:23,0xc272a4d452d18a7a9dd8716fee3b74958c3f2decc330eb7746991882990fdd18,230,0x11b815efb8f581194ae79006d24e0d814b7697f6,-194320,-194200,275398273777503076,27301267066062398058,0
21446538,2024-12-20 21:52:11,0xf563cc3487fd30e71d04164c439cbc321f01d2be4f8f3248f631d0895346ce07,33,0x72e0de1cc2c952326738dac05bacb9e9c25422e3,-887200,887200,0,0,0
21446544,2024-12-20 21:53:23,0x775c474f5da1004294b334107fcdf485fce78a213762923277ce02d8cd8e9341,282,0xa7c2454239f88935925e8756d8f1dd6cada81204,-118600,-113400,0,0,0
21446550,2024-12-20 21:54:35,0x5c7dced13ea704b86b0709acc00a63bb83a0fede224a747f5f99ac56f871ddc6,107,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,195780,195840,9652773627620874817,1621826095197,0
21446575,2024-12-20 21:59:35,0x530ae213a53ef6c14055bda73c302422df4ede4eb8c017c4098fd5d626f9a028,113,0x11950d141ecb863f01007add7d1a342041227b58,-192900,-190740,0,0,0
21446579,2024-12-20 22:00:23,0x0f66e9c799e2aafa682a31401e7a1f129c6021ed7378e7f862849d3fc6d7a3a6,209,0x403b1b747b1efb309070436c9ac99bf476f299ea,112200,113200,357148992275116837,0,4999999999999999991
